,Are you self-employed?,Do you have previous employers?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?
0,-5,5,1,1,1,-3,1,-5,5,-5
1,-5,5,1,-5,-3,-3,1,5,5,5
2,-5,5,5,5,1,1,1,-5,1,-5
3,5,5,5,1,3,1,0,-5,5,5
4,-5,5,1,-5,3,1,1,5,5,5
5,-5,5,5,1,3,1,1,-5,-5,5
6,-5,5,5,5,3,-3,-5,-5,-5,-5
7,-5,5,-5,-5,1,1,1,5,5,5
8,-5,5,1,1,1,5,1,5,5,5
9,5,5,5,1,1,-3,5,5,5,5
10,-5,5,5,5,-3,1,5,1,5,5
11,-5,5,-5,-5,3,3,-3,5,5,5
12,-5,5,-5,-5,-5,-5,1,5,5,5
13,-5,5,5,-5,1,3,-3,-5,1,1
14,-5,5,-5,-5,-5,-5,1,5,5,5
15,-5,5,1,1,1,1,0,5,5,5
16,-5,5,5,-5,5,-3,5,5,5,5
17,-5,5,-5,-5,1,1,1,-5,-5,-5
18,5,-5,-5,-5,5,5,-1,1,5,5
19,-5,5,5,-5,3,3,-1,5,5,5
20,-5,5,1,-5,3,3,-1,5,1,-5
21,-5,5,-5,-5,1,1,0,-5,-5,-5
22,-5,5,1,1,1,-3,0,1,1,-5
23,-5,5,-5,-5,3,1,1,5,5,-5
24,5,5,1,1,1,-3,-5,-5,-5,-5
25,-5,-5,1,1,1,-3,5,-5,-5,-5
26,-5,5,-5,1,3,3,1,1,5,5
27,-5,5,1,-5,3,3,-1,-5,-5,1
28,-5,5,1,-5,3,-3,0,5,5,1
29,-5,5,-5,-5,3,3,-1,5,5,5
30,-5,-5,1,1,3,1,5,5,5,5
31,-5,5,-5,-5,-3,-5,5,-5,5,5
32,-5,-5,-5,-5,1,1,1,1,5,1
33,5,5,-5,1,1,1,1,-5,-5,-5
34,-5,5,5,5,-3,-3,-1,-5,5,5
35,-5,5,-5,-5,3,3,1,-5,-5,-5
36,-5,5,5,5,1,1,1,5,5,5
37,-5,5,1,1,1,3,1,-5,-5,1
38,-5,5,5,1,1,-3,5,5,5,1
39,-5,5,5,5,1,1,5,1,-5,-5
40,5,5,1,-5,3,-3,1,5,5,5
41,-5,5,1,1,-3,-3,1,1,5,5
42,-5,5,1,-5,1,1,5,5,5,5
43,5,5,5,-5,3,-3,1,5,5,5
44,-5,5,-5,-5,3,3,1,-5,-5,-5
45,-5,5,-5,-5,3,3,1,5,5,5
46,5,5,5,1,-3,1,5,5,5,5
47,-5,5,1,1,1,1,-1,1,1,1
48,5,5,5,5,-3,1,0,5,5,1
49,-5,5,-5,-5,1,1,1,-5,1,5
50,-5,5,-5,-5,5,1,0,1,5,5
51,-5,5,5,5,1,1,1,5,-5,-5
52,5,5,5,1,1,-3,-5,-5,-5,-5
53,-5,5,1,-5,1,-3,0,5,5,5
54,-5,5,1,-5,3,1,0,-5,1,1
55,-5,5,-5,-5,1,-3,-1,-5,-5,-5
56,-5,-5,1,1,1,-3,1,5,1,1
57,-5,5,5,-5,3,1,-1,5,1,1
58,-5,5,1,-5,-3,1,-1,1,1,1
59,-5,5,5,1,1,-3,-5,1,-5,-5
60,-5,5,1,1,3,3,1,1,-5,1
61,-5,5,5,1,3,3,1,-5,5,1
62,-5,5,1,1,1,-3,1,-5,-5,-5
63,5,5,-5,-5,3,3,0,1,1,1
64,5,5,-5,-5,1,1,-1,-5,-5,-5
65,5,5,-5,-5,-3,-3,-5,-5,-5,-5
66,-5,5,5,-5,3,3,1,5,5,5
67,-5,5,5,-5,3,3,1,5,5,5
68,-5,5,1,-5,3,1,1,5,1,-5
69,-5,5,-5,-5,1,3,5,1,5,1
70,5,5,5,1,1,-3,-5,-5,5,-5
71,-5,-5,5,1,1,1,1,-5,-5,-5
72,-5,5,-5,-5,3,3,-3,5,-5,-5
73,-5,5,5,5,1,-3,5,-5,5,-5
74,-5,5,1,-5,1,-3,1,5,1,1
75,-5,5,1,-5,1,-3,1,5,-5,-5
76,5,-5,-5,-5,-3,3,1,1,5,5
77,-5,5,1,1,1,-3,1,-5,-5,-5
78,-5,5,5,-5,1,1,0,-5,-5,-5
79,-5,5,5,1,1,-3,5,5,5,5
80,-5,5,-5,-5,1,1,1,-5,-5,-5
81,-5,5,-5,-5,1,1,-1,5,5,5
82,5,5,1,-5,1,1,-1,5,5,5
83,-5,-5,5,1,-3,-3,1,-5,-5,-5
84,5,5,-5,-5,1,1,5,5,5,5
85,-5,5,1,5,1,1,-1,-5,1,1
86,-5,5,5,-5,3,1,1,-5,1,1
87,-5,5,1,1,5,5,0,1,5,5
88,5,5,5,1,-3,-5,1,1,1,1
89,-5,-5,-5,-5,-3,-3,5,5,5,5
90,-5,5,1,-5,1,1,1,1,5,-5
91,-5,5,-5,-5,3,3,-1,5,5,1
92,-5,5,5,1,1,1,1,-5,-5,5
93,-5,5,5,5,1,3,-3,-5,-5,-5
94,-5,5,1,1,1,1,1,-5,5,5
95,-5,5,5,-5,-3,1,1,5,5,5
96,-5,5,-5,-5,3,3,-5,-5,-5,-5
97,-5,5,1,1,1,-3,1,1,-5,-5
98,5,5,1,1,3,1,1,5,5,5
99,-5,5,-5,-5,1,1,1,5,5,5
100,-5,5,-5,-5,3,3,-5,-5,-5,-5
101,-5,-5,1,-5,3,1,5,1,5,5
102,-5,5,5,5,1,1,1,5,-5,-5
103,-5,5,-5,-5,3,3,1,5,1,-5
104,-5,-5,-5,-5,1,1,1,1,1,1
105,5,5,1,-5,3,3,1,-5,5,1
106,-5,5,1,1,1,1,1,5,5,1
107,-5,5,1,1,1,1,1,5,-5,5
108,-5,-5,-5,-5,3,-3,-1,-5,5,5
109,5,5,5,5,-3,-3,1,1,5,5
110,-5,5,5,5,1,1,-5,-5,-5,1
111,-5,5,5,-5,1,-3,1,5,5,5
112,-5,-5,-5,-5,3,1,1,5,1,1
113,5,-5,1,1,5,3,-1,5,-5,-5
114,5,5,1,5,3,3,1,5,5,5
115,-5,5,1,1,1,-3,1,-5,-5,-5
116,-5,5,1,1,-5,1,5,5,5,5
117,-5,5,5,-5,1,-3,5,5,5,-5
118,-5,5,1,-5,3,1,1,5,5,5
119,-5,5,-5,-5,3,3,0,5,5,1
120,-5,5,5,5,1,-3,5,5,-5,1
121,-5,5,1,-5,1,-3,-5,1,-5,-5
122,5,5,1,-5,1,1,1,-5,5,5
123,-5,5,1,-5,3,-3,1,5,5,5
124,5,5,-5,-5,3,3,1,1,5,5
125,5,5,1,1,1,1,1,5,1,1
126,-5,5,1,-5,1,1,1,1,1,1
127,5,5,5,5,1,1,1,-5,-5,-5
128,-5,5,-5,1,1,-3,5,-5,-5,-5
129,-5,5,1,-5,3,3,0,-5,-5,-5
130,-5,5,-5,-5,1,1,1,1,5,1
131,-5,5,1,-5,3,3,-3,1,5,1
132,-5,5,5,-5,3,1,1,5,5,5
133,-5,5,-5,-5,3,1,0,1,5,5
134,-5,5,-5,-5,-3,-3,1,5,-5,-5
135,-5,5,1,1,3,1,-5,-5,-5,-5
136,-5,5,1,-5,1,1,0,-5,-5,1
137,-5,5,5,1,1,-3,1,-5,-5,-5
138,-5,5,1,-5,1,1,1,1,5,5
139,-5,5,5,1,1,-3,5,5,5,5
140,-5,5,-5,-5,3,3,1,5,5,5
141,-5,5,-5,-5,3,1,1,1,-5,-5
142,-5,5,1,1,3,3,1,5,1,1
143,-5,-5,1,-5,3,3,-1,5,5,5
144,-5,5,5,-5,3,3,5,1,5,5
145,5,5,-5,-5,3,3,5,1,1,1
146,-5,5,1,-5,5,-3,1,-5,5,5
147,-5,5,1,-5,3,1,5,-5,-5,-5
148,-5,5,1,1,-3,1,5,5,5,-5
149,-5,5,-5,-5,3,3,1,-5,-5,-5
150,-5,5,5,5,-3,-3,5,-5,5,5
151,5,5,1,1,5,1,1,1,5,5
152,5,-5,-5,-5,3,3,1,-5,5,-5
153,-5,5,1,1,1,1,1,5,1,1
154,5,5,1,-5,1,1,5,5,5,5
155,-5,5,1,1,3,-3,1,1,1,-5
156,-5,-5,5,1,3,-3,-3,-5,-5,-5
157,-5,5,-5,-5,5,-3,0,1,5,5
158,-5,5,-5,-5,3,3,-1,-5,-5,-5
159,-5,5,-5,-5,3,1,0,-5,1,-5
160,-5,5,5,-5,3,1,1,5,5,5
161,-5,5,-5,-5,3,3,5,-5,5,5
162,-5,-5,5,-5,3,1,1,-5,5,5
163,-5,-5,1,-5,3,3,-5,1,-5,-5
164,-5,5,5,1,3,1,1,-5,5,5
165,-5,5,1,1,3,1,-5,-5,-5,-5
166,-5,5,1,1,1,1,-5,-5,-5,-5
167,-5,5,1,-5,1,1,-1,1,-5,1
168,5,-5,5,5,1,-3,1,1,1,1
169,-5,5,5,-5,3,3,-5,-5,-5,1
170,-5,5,1,-5,3,3,1,-5,-5,1
171,-5,5,1,1,1,1,1,-5,-5,-5
172,-5,5,1,-5,3,1,1,1,1,-5
173,-5,5,-5,-5,3,3,-1,1,1,1
174,-5,5,-5,-5,5,1,-3,5,5,5
175,-5,-5,1,-5,3,1,1,-5,-5,-5
176,-5,5,1,1,3,1,1,5,5,5
177,-5,5,-5,-5,1,3,1,5,5,5
178,-5,5,5,5,1,1,0,-5,-5,-5
179,-5,5,5,1,-5,-5,5,5,1,5
180,-5,5,1,1,1,-3,5,1,1,-5
181,-5,-5,1,1,3,-3,1,-5,-5,-5
182,-5,5,1,-5,3,-3,1,-5,5,1
183,-5,5,-5,-5,1,-3,-5,5,-5,-5
184,-5,5,1,1,3,1,1,5,5,5
185,-5,5,5,1,1,-3,1,-5,-5,-5
186,-5,5,1,1,-3,-5,1,1,5,5
187,-5,5,1,-5,1,1,-5,5,1,-5
188,-5,5,1,1,-3,1,5,-5,5,5
189,-5,5,5,-5,3,3,5,-5,5,1
190,-5,5,1,1,1,1,1,5,5,5
191,5,5,1,1,1,3,1,-5,1,1
192,-5,5,1,-5,1,-3,-1,5,-5,-5
193,5,5,1,1,1,1,1,-5,1,1
194,-5,5,1,1,1,1,1,-5,5,5
195,-5,5,5,-5,3,1,5,1,5,5
196,-5,5,1,-5,1,-5,5,5,5,5
197,5,5,5,1,1,-3,-3,5,5,5
198,-5,5,5,-5,1,1,0,5,5,-5
199,-5,5,1,-5,3,3,-1,5,5,5
200,-5,5,1,-5,3,3,1,5,5,1
201,-5,5,5,5,-3,-3,5,-5,-5,-5
202,-5,5,-5,-5,3,3,1,-5,1,1
203,-5,5,-5,5,1,-5,5,5,5,5
204,-5,5,5,-5,1,1,1,-5,5,1
205,-5,-5,1,1,-3,-3,-1,-5,-5,-5
206,-5,5,5,-5,3,3,5,5,1,-5
207,-5,5,-5,-5,-3,-3,5,-5,5,5
208,-5,5,5,1,1,3,1,5,5,5
209,-5,5,1,1,1,-3,0,-5,-5,-5
210,-5,5,-5,-5,3,1,1,-5,-5,-5
211,-5,5,1,1,-3,-3,0,5,5,-5
212,-5,5,1,-5,5,-5,1,5,5,5
213,-5,5,1,-5,3,-3,-1,-5,1,1
214,-5,5,5,1,5,-3,-5,-5,-5,-5
